trip_verification,reviews,num_words,review_sentence,Scores,Compound,sentiment
True,"['Hong', 'Kong', 'London.', 'I', 'book', 'return', 'ticket', 'sister', 'BA,', 'provide', 'travel', 'document', 'detail', 'required.', 'However', 'get', 'airport', 'find', 'sister', 'middle', 'ticket', ""didn't"", 'match', 'passport', 'name.', 'They', 'refuse', 'let', 'fly,', 'hassle', 'sister', 'get', 'temporary', 'visa,', 'enable', 'fly.', 'However,', 'land', 'London', 'I', 'acknowledge', 'problem', 'fly', 'Taiwan.', 'Igot', 'contact', ""BAs'"", 'executive', 'phone', 'helpline', 'service,', 'spend', 'day', 'speak', 'cause', 'speak', 'numerous', 'different', 'people', 'tell', 'different', 'things.', 'We', 'resolve', 'issue', 'ticket', 'have', 'middle', 'on.', 'BA', 'refuse', 'alter', 'ticket', 'information', 'add', 'sister', 'middle', 'ticket.', 'They', 'helpful', 'phone', 'ask', 'add', 'middle', 'interest', 'try', 'solve', 'issue', 'hand.', 'They', 'insistent', 'speak', 'sister', 'Taiwan', 'I', 'tell', 'unable', 'speak', 'english', 'translate', 'question', 'her.', 'They', 'allow', 'phone', 'speak', 'English', 'her.']",108,"Hong Kong London. I book return ticket sister BA, provide travel document detail required. However get airport find sister middle ticket didn't match passport name. They refuse let fly, hassle sister get temporary visa, enable fly. However, land London I acknowledge problem fly Taiwan. Igot contact BAs' executive phone helpline service, spend day speak cause speak numerous different people tell different things. We resolve issue ticket have middle on. BA refuse alter ticket information add sister middle ticket. They helpful phone ask add middle interest try solve issue hand. They insistent speak sister Taiwan I tell unable speak english translate question her. They allow phone speak English her.","{'neg': 0.06, 'neu': 0.811, 'pos': 0.129, 'compound': 0.802}",0.802,Positive
True,"['My', 'husband', 'I', 'British', 'Airways', 'fly', 'London', 'Paris', 'past', 'August.', 'When', 'arrive', 'airport', 'need', 'pay', 'bags,', 'charge', '4', 'time', 'bag', 'I', 'assure', 'charge', ""didn't"", 'through.', 'Have', 'try', 'refund', 'BA', 'since.', 'They', 'phone', 'number', 'claim', 'answer', 'phone!', 'They', 'claim', 'online', 'respond', 'emails.', 'I', 'send', 'bank', 'statement', 'credit', 'card', 'statement', 'show', 'I', 'charge', '4', 'time', 'bag.', 'Only', '2', 'month', 'later', 'finally', 'respond', 'claim,', 'claim', 'I', 'bag', 'despite', 'fact', 'I', 'send', 'documentation', 'show', '4', 'charge', 'confirm', 'bank', 'credit', 'card', 'charge', 'go', 'through,', 'saw', 'charge', 'I', 'bag', ""didn't"", 'owe', 'money.', 'They', 'force', 'communicate', 'email', ""don't"", 'respond', 'owe', '$258', 'USD', 'refuse', 'money', 'point.']",98,"My husband I British Airways fly London Paris past August. When arrive airport need pay bags, charge 4 time bag I assure charge didn't through. Have try refund BA since. They phone number claim answer phone! They claim online respond emails. I send bank statement credit card statement show I charge 4 time bag. Only 2 month later finally respond claim, claim I bag despite fact I send documentation show 4 charge confirm bank credit card charge go through, saw charge I bag didn't owe money. They force communicate email don't respond owe $258 USD refuse money point.","{'neg': 0.038, 'neu': 0.864, 'pos': 0.098, 'compound': 0.68}",0.68,Positive
True,"['New', 'York', 'London.', 'I', 'flight', '11.35', 'pm', 'clearly', 'cheaper', 'version', 'respects.', 'The', 'Boeing', '777', 'certainly', 'show', 'age.', 'IFE', 'screen', 'tiny,', 'seat', 'used.', 'The', 'flight', 'time', 'quick', '(5.50', 'hours)', 'thats', 'it.', 'FA', 'highly', 'professional', 'point', 'unfriendly', 'me.', 'The', 'F&', 'B', 'standard', 'take', 'I', 'eat', 'earlier.', ""I'm"", 'One', 'World', 'Emerald', 'cabin', 'manager', 'greet', 'me.', 'Its', 'small', 'touch', 'grand', 'scheme', 'thing', 'mean', 'little', 'acknowledgement', 'spend', 'time', 'money', 'carrier', '(usually', 'follow', 'drink', 'two).']",69,"New York London. I flight 11.35 pm clearly cheaper version respects. The Boeing 777 certainly show age. IFE screen tiny, seat used. The flight time quick (5.50 hours) thats it. FA highly professional point unfriendly me. The F& B standard take I eat earlier. I'm One World Emerald cabin manager greet me. Its small touch grand scheme thing mean little acknowledgement spend time money carrier (usually follow drink two).","{'neg': 0.037, 'neu': 0.795, 'pos': 0.168, 'compound': 0.8375}",0.8375,Positive
True,"['Austin', 'London.', 'Along', '$1900', 'purchase', 'price', 'roundtrip', 'ticket', 'wife', 'daughter,', 'BA', 'charge', 'additional', '$250', 'seat', 'reservation', 'ensure', 'sit', 'together.', 'When', 'go', 'check', 'in,', 'seat', 'reservation', '(in', 'directions)', 'give', 'away', 'family', 'sit', 'different', 'seats.', 'Back', 'home,', 'I', 'apply', 'refund', '$250', 'seat', 'fee', 'tell', 'proof', 'I', 'pay', 'them.', 'I', 'credit', 'card', 'charge', 'email', 'confirmation', 'clearly', 'state', 'charge', 'made,', 'process', 'upload', 'document', 'BA.']",60,"Austin London. Along $1900 purchase price roundtrip ticket wife daughter, BA charge additional $250 seat reservation ensure sit together. When go check in, seat reservation (in directions) give away family sit different seats. Back home, I apply refund $250 seat fee tell proof I pay them. I credit card charge email confirmation clearly state charge made, process upload document BA.","{'neg': 0.022, 'neu': 0.851, 'pos': 0.127, 'compound': 0.7579}",0.7579,Positive
False,"['Frankfurt', 'London', 'British', 'Airways.', 'Awful', 'airline.', 'Put', 'wife', 'opposite', 'end', 'plane', 'book', 'together.', 'Gave', 'middle', 'seat', 'free.', 'A', 'childish', 'airline', 'charge', 'premium', 'go', 'journey', 'difficult', ""don't"", 'book', 'biz', 'class.', 'Avoid.']",30,Frankfurt London British Airways. Awful airline. Put wife opposite end plane book together. Gave middle seat free. A childish airline charge premium go journey difficult don't book biz class. Avoid.,"{'neg': 0.266, 'neu': 0.645, 'pos': 0.089, 'compound': -0.6808}",-0.6808,Negative
True,"['London', 'Glasgow', 'British', 'Airways.', 'Flight', 'delay', 'it’s', 'like', 'it’s', 'it’s', 'delay', 'week', 'like', 'bad', 'joke.', 'Really', 'poor', 'expensive', 'airline', 'I', 'wouldn’t', 'recommend', 'traveller.']",23,London Glasgow British Airways. Flight delay it’s like it’s it’s delay week like bad joke. Really poor expensive airline I wouldn’t recommend traveller.,"{'neg': 0.327, 'neu': 0.398, 'pos': 0.276, 'compound': -0.4201}",-0.4201,Negative
True,"['London', 'San', 'Francisco.', 'This', 'flight', 'delight.', 'Friendly,', 'relax', 'crew,', 'good', 'food', 'wine', 'main', 'deck', 'Club', 'World', 'cabin', 'nearly', 'empty.', 'If', 'manage', 'expectation', 'BA', 'Club', 'World', 'go', ""shouldn't"", 'disappointed.', 'Yes', 'rollout', 'new', 'Club', 'World', 'Suite', 'long', 'time', 'come', 'food', 'service', 'improve', 'considerably', '-', 'BA', 'try', 'valiantly', 'regain', 'long', 'go', 'moniker', '""World\'s', 'Favourite', 'Airline"".', 'The', '747', 'see', 'well', 'day', 'give', ""they're"", 'remove', ""airline's"", 'passenger', 'services,', 'opportunity', 'fly', ""they're"", 'gone.', ""I'm"", 'gradually', 'regain', 'confidence', 'BA.']",72,"London San Francisco. This flight delight. Friendly, relax crew, good food wine main deck Club World cabin nearly empty. If manage expectation BA Club World go shouldn't disappointed. Yes rollout new Club World Suite long time come food service improve considerably - BA try valiantly regain long go moniker ""World's Favourite Airline"". The 747 see well day give they're remove airline's passenger services, opportunity fly they're gone. I'm gradually regain confidence BA.","{'neg': 0.045, 'neu': 0.662, 'pos': 0.293, 'compound': 0.9702}",0.9702,Positive
False,"['Heathrow', 'Belfast.', 'Great', 'service', 'Belfast', 'absolutely', 'shock', 'T5', 'Heathrow.', 'Very', 'rude', 'check', 'staff', 'tell', 'print', 'board', 'pas', 'suitcases.', 'Totally', 'disgusted.', 'Cabin', 'crew', 'lovely', '12.40', 'flight', 'Belfast', '9th', 'December.']",28,Heathrow Belfast. Great service Belfast absolutely shock T5 Heathrow. Very rude check staff tell print board pas suitcases. Totally disgusted. Cabin crew lovely 12.40 flight Belfast 9th December.,"{'neg': 0.242, 'neu': 0.564, 'pos': 0.194, 'compound': -0.2451}",-0.2451,Negative
False,"['London', 'Singapore.', 'I', 'apprehensive', 'fly', 'BA', 'Club', 'World', 'read', 'negative', 'reviews.', 'I', 'however,', 'surprised.', 'Firstly,', 'SQ', 'QR', '-', 'fair,', 'I', 'find', 'reasonably', 'price', 'offerings.', 'You', 'pay', 'for.', 'The', 'seat', 'old,', 'perfectly', 'comfortable', 'plenty', 'space.', 'The', 'window', 'seat', 'best', 'privacy.', 'I', 'tall', 'issue', 'sleeping.', 'In', 'fact,', 'I', 'sleep', '7', 'hours.', 'The', 'service', 'food', 'London', 'notch,', 'fresh', 'plentiful,', 'welcome', 'contrast', 'tiny', 'meal', 'receive', 'Qantas.', 'Service', 'consistent,', 'polite', 'attentive.', 'Drinks', 'water', 'continually', 'top', 'up.', 'I', 'truly', 'impress', 'The', 'return', ""flight's"", 'service', 'average', 'sloppy', 'let’s', 'focus', 'positives!']",83,"London Singapore. I apprehensive fly BA Club World read negative reviews. I however, surprised. Firstly, SQ QR - fair, I find reasonably price offerings. You pay for. The seat old, perfectly comfortable plenty space. The window seat best privacy. I tall issue sleeping. In fact, I sleep 7 hours. The service food London notch, fresh plentiful, welcome contrast tiny meal receive Qantas. Service consistent, polite attentive. Drinks water continually top up. I truly impress The return flight's service average sloppy let’s focus positives!","{'neg': 0.051, 'neu': 0.623, 'pos': 0.326, 'compound': 0.9785}",0.9785,Positive
True,"['Toulouse', 'London.', ""I'm"", 'able', 'bodied,', 'fit', 'BA', 'customer', 'Silver', 'member', 'seat', 'Emergency', 'Exit', 'seat.', ""I'd"", 'away', 'item', 'fasten', 'seatbelt', 'compliance', 'regultions.', 'A', 'cabin', 'crew', 'member,', 'come', 'row', 'point', 'security', 'exit', 'safety', 'card', 'I', 'listen', 'responding,', 'despite', 'order', 'cabin', 'pressure', 'equalizers,', 'call', 'earplugs.', 'I', 'explain', 'I', 'need', 'protect', 'ear', 'door', 'close', 'I', 'suffer', 'ear', 'problem', 'I', 'fly.', 'I', 'tell', 'I', 'hear', 'perfectly,', 'demonstrate', 'vocal', 'exchange.', 'Despite', 'this,', 'keep', 'talk', 'threaten', 'remove', 'seat', 'I', 'fail', 'follow', 'order.', 'After', 'I', 'begrudgingly', 'take', 'off,', 'order', 'remove', 'seat', 'I', 'point', 'I', 'had!', 'I', 'ask', 'speak', 'purser,', 'come', 'off.', 'I', 'tell', 'cabin', 'crew', 'member', 'unnecessarily', 'rude', 'need', 'Customer', 'Care', 'train', 'look', 'new', 'job.', 'I', 'write', 'British', 'Airways', 'complaint,', 'bother', 'respond.', 'Awful,', 'rude', 'airline.']",117,"Toulouse London. I'm able bodied, fit BA customer Silver member seat Emergency Exit seat. I'd away item fasten seatbelt compliance regultions. A cabin crew member, come row point security exit safety card I listen responding, despite order cabin pressure equalizers, call earplugs. I explain I need protect ear door close I suffer ear problem I fly. I tell I hear perfectly, demonstrate vocal exchange. Despite this, keep talk threaten remove seat I fail follow order. After I begrudgingly take off, order remove seat I point I had! I ask speak purser, come off. I tell cabin crew member unnecessarily rude need Customer Care train look new job. I write British Airways complaint, bother respond. Awful, rude airline.","{'neg': 0.216, 'neu': 0.637, 'pos': 0.147, 'compound': -0.8483}",-0.8483,Negative
